id,visitors
air_00a91d42b08b08d9_2017-04-23,1.958864107801272
air_00a91d42b08b08d9_2017-04-24,19.691664424456224
air_00a91d42b08b08d9_2017-04-25,21.673324865314274
air_00a91d42b08b08d9_2017-04-26,27.122794810651364
air_00a91d42b08b08d9_2017-04-27,28.944613273262185
air_00a91d42b08b08d9_2017-04-28,35.5713260959108
air_00a91d42b08b08d9_2017-04-29,11.228890619160097
air_00a91d42b08b08d9_2017-04-30,1.958864107801272
air_00a91d42b08b08d9_2017-05-01,19.691664424456224
air_00a91d42b08b08d9_2017-05-02,21.673324865314274
air_00a91d42b08b08d9_2017-05-03,27.122794810651364
air_00a91d42b08b08d9_2017-05-04,28.944613273262185
air_00a91d42b08b08d9_2017-05-05,35.5713260959108
air_00a91d42b08b08d9_2017-05-06,11.228890619160097
air_00a91d42b08b08d9_2017-05-07,1.958864107801272
air_00a91d42b08b08d9_2017-05-08,19.691664424456224
air_00a91d42b08b08d9_2017-05-09,21.673324865314274
air_00a91d42b08b08d9_2017-05-10,27.122794810651364
air_00a91d42b08b08d9_2017-05-11,28.944613273262185
air_00a91d42b08b08d9_2017-05-12,35.5713260959108
air_00a91d42b08b08d9_2017-05-13,11.228890619160097
air_00a91d42b08b08d9_2017-05-14,1.958864107801272
air_00a91d42b08b08d9_2017-05-15,19.691664424456224
air_00a91d42b08b08d9_2017-05-16,21.673324865314274
air_00a91d42b08b08d9_2017-05-17,27.122794810651364
air_00a91d42b08b08d9_2017-05-18,28.944613273262185
air_00a91d42b08b08d9_2017-05-19,35.5713260959108
air_00a91d42b08b08d9_2017-05-20,11.228890619160097
air_00a91d42b08b08d9_2017-05-21,1.958864107801272
air_00a91d42b08b08d9_2017-05-22,19.691664424456224
air_00a91d42b08b08d9_2017-05-23,21.673324865314274
air_00a91d42b08b08d9_2017-05-24,27.122794810651364
air_00a91d42b08b08d9_2017-05-25,28.944613273262185
air_00a91d42b08b08d9_2017-05-26,35.5713260959108
air_00a91d42b08b08d9_2017-05-27,11.228890619160097
air_00a91d42b08b08d9_2017-05-28,1.958864107801272
air_00a91d42b08b08d9_2017-05-29,19.691664424456224
air_00a91d42b08b08d9_2017-05-30,21.673324865314274
air_00a91d42b08b08d9_2017-05-31,27.122794810651364
air_0164b9927d20bcc3_2017-04-23,1.0593026590671288
air_0164b9927d20bcc3_2017-04-24,5.999094037111224
air_0164b9927d20bcc3_2017-04-25,7.841834690512119
air_0164b9927d20bcc3_2017-04-26,8.230600123862287
air_0164b9927d20bcc3_2017-04-27,8.27463545385267
air_0164b9927d20bcc3_2017-04-28,9.764271438783453
air_0164b9927d20bcc3_2017-04-29,3.988480377749554
air_0164b9927d20bcc3_2017-04-30,1.0593026590671288
air_0164b9927d20bcc3_2017-05-01,5.999094037111224
air_0164b9927d20bcc3_2017-05-02,7.841834690512119
air_0164b9927d20bcc3_2017-05-03,8.230600123862287
air_0164b9927d20bcc3_2017-05-04,8.27463545385267
air_0164b9927d20bcc3_2017-05-05,9.764271438783453
air_0164b9927d20bcc3_2017-05-06,3.988480377749554
air_0164b9927d20bcc3_2017-05-07,1.0593026590671288
air_0164b9927d20bcc3_2017-05-08,5.999094037111224
air_0164b9927d20bcc3_2017-05-09,7.841834690512119
air_0164b9927d20bcc3_2017-05-10,8.230600123862287
air_0164b9927d20bcc3_2017-05-11,8.27463545385267
air_0164b9927d20bcc3_2017-05-12,9.764271438783453
air_0164b9927d20bcc3_2017-05-13,3.988480377749554
air_0164b9927d20bcc3_2017-05-14,1.0593026590671288
air_0164b9927d20bcc3_2017-05-15,5.999094037111224
air_0164b9927d20bcc3_2017-05-16,7.841834690512119
